
厦门移动,#genre#
睛彩竞技,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227047/index.m3u8

睛彩篮球,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227158/index.m3u8


福建综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227149/1.m3u8

东南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227156/1.m3u8

福建公共,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227153/1.m3u8

福建新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227180/1.m3u8

福建电视剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227079/1.m3u8

福建旅游,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227190/1.m3u8

福建经济,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227184/1.m3u8

福建文体,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227188/1.m3u8

福建少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227194/1.m3u8

海峡卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227198/1.m3u8

福建教育,http://ott.fj.chinamobile.com/PLTV/
